,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pt,GSM,Kraft,Cardboard,Corrugated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kg,Shipping Cost,,,,,,,,,,
,,,,,,,,,,,,14,250,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,WT,US,
,,,,,,,,,,,,16,300,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,7253,
,https://thecustompack.com/poly-bubble-mailers/,,,,,,,,,,,18,350,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9103,
,,,,,,,,,,,,N/A,700,,,300,,,,,,,,,,,,,,,,,,,,,Printing Cost,,,,,,,,,,,,,,,,,,,,,Die Cutting,,,,,,,,,,,,,1.5,10668,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1000,1,,,,,,,,,,,,,,,,,,,units,,,,,,,,,,,,,2,12188,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2000,2,,,,,,,,,,,,,,,,,,,1 - 1000,1000,,,,,,,,,,,,2.5,14512,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,3000,3,,,,,,,,,,,,,,,,,,,1001 - 2000,2000,,,,,,,,,,,,3,15569,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,4000,4,,,,,,,,,,,,,,,,,,,2001 - 3000,3000,,,,,,,,,,,,3.5,16613,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,5000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18631,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5001,6000,6,,,,,,,,,,,,,,,,,,,,,,,,,,Standar days wil be 12 to 15 Business days,,,,,,4.5,20443,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,if multplication of l and W result into less then 100 then cost of die making will be 1000,,,,,,,,,,Rush Delivery in 5 to 7 days,,,,,,5,22058,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,21604,
,,,,Material Cost Calculation,,,,,,,,Scanning (One Time Cost),Plates (One Time Cost),,,,,,,,,,,,,,,,Printing ( Cost on each 1k Batch),,,,,,,,,,,,,,,,Lamination  (Per Unit Cost),,,,,,,,,,Die Making (One Time Cost),,,Die Cutting  (Per 1k Units),Pasting (Per 1k Units),Multifcation effect for Two Piece Box ,Vendor %,Shipping Cost,,,,Add 10% more in case of both side printing on the cost  ,,,,,6,23499,
,Rigid Boxes,Moq,https://thecustompack.com/rigid-material/,Legnth,Width,Height,Legnth,Width,,Weight of 100 units,Material Cost of Making 100 untis,,Outside,Inside,BothSide,Blank,Outside,Inside,BothSide,Blank,Outside,Inside,BothSide,Blank,Outside,Inside,BothSide,Blank,Outside,Inside,BothSide,Blank,Outside,Inside,BothSide,Blank,Outside,Inside,BothSide,Blank,Outside,Inside,BothSide,Blank,Length,Width,Converting in to persquare inch,Multiple with rate,Final Rate (Multiple with the quantity for 100),Length,Width,Converting in to persquare inch,Multiple with rate,Final Rate (Multiple with the quantity) 100,Length,Width,Calculation,,,,,Weight per Unit,100 units MOQ Weight,MOQ Shipping Cost,Margin in percent,,,,,,6.5,24794,
,,,,,,,,,,,,,o.1 to 12.5 & .1-18,,,,12.6 to 18 & 18.1 to 25,,,,18.1 to 20 & 25.1 to 30,,,,20.1 to 28 to 30.1 o 40,,,,o.1 to 12.5 & .1-18,,,,12.6 to 18 & 18.1 to 25,,,,18.1 to 20 & 25.1 to 30,,,,20.1 to 28 to 30.1 o 40,,,,(Glossy and Mate Finishing ),,,,,Soft touch,,,,,,,,,,,,,,,,,,,,,7,26089,
